rating|SLCDRRule|SLName|0|0|||||||
rating|SLGAnalyse|ValidFrom|21|0|01/12/014|01/05/11|01/06/11|05/01/12|01/09/12|01/01/13|01/02/13
rating|SLGAnalyse|BillCode|25|0|1NATCALLDNAMOB|1NATCALLFIX|1NATCALLOTHMOB|1NATGPRSDR|1NATSMSDNAMOB|1NATSMSOTHALL|1NATVIDDNAMOB
rating|SLGAnalyse|BelongTo|1|0|yes||||||
rating|SLGAnalyse|ValidTo|3|0|31/12/40|31/12/49|31/12/2050||||
rating|SLGAnalyse|Brand|1|0|1||||||
rating|SLGAnalyse|CCN|7|0|10|42|51|81|92|93|94
rating|SLGAnalyse|Clitype|29|0|DATA11|DATA16|PO_OptimiBasic|PO_OptimiPackage|VOICE10|VOICE11|VOICE12
rating|SLGAnalyse|Prior|7|0|10|15|20|25|30|35|40
rating|SLGAnalyse|ServiceLimitGroup|48|0|CAMV10DAYMAXWEEK|CAMV11DAYMAXWEEK|CAMV7DAYMAXSUN|CAMV8DAYMAXWEEK|CAMV9DAYMAXWEEK|CAMVDAYMAXSUN|CAMVDAYMAXWEEK
rating|SLGAnalyse|SLGAType|2|0|1|2|||||
rating|SLGAnalyse|BDest|1|0|||||||
rating|Tariff|TariffNum|1474|0|2|3|4|5|6|7|8
rating|Tariff|TariffType|1|0|0||||||
rating|Tariff|StartCharge[1]|39|6|?|?|?|?|?|?|?
rating|Tariff|StartCharge[2]|6|6|?|?|?|?|?|?|
rating|Tariff|StartCharge[3]|6|6|?|?|?|?|?|?|
rating|Tariff|StartCharge[4]|6|6|?|?|?|?|?|?|
rating|Tariff|StartCharge[5]|6|6|?|?|?|?|?|?|
rating|Tariff|StartCharge[6]|1|6|?||||||
rating|Tariff|ServRid|1|0|||||||
rating|Tariff|RateType|3|0|1|30|60||||
rating|Tariff|PriceList|30|0|1CALLABROADLILA|1CALLABROADOPTIMI|1COMCALLABROAD|1COMMLILA|1COMMON|1COMMOPTIMI|1COMMROAMING
rating|Tariff|Price[1]|198|6|?|?|?|?|?|?|?
rating|Tariff|Price[2]|45|6|?|?|?|?|?|?|?
rating|Tariff|Price[3]|45|6|?|?|?|?|?|?|?
rating|Tariff|Price[4]|45|6|?|?|?|?|?|?|?
rating|Tariff|Price[5]|45|6|?|?|?|?|?|?|?
rating|Tariff|Price[6]|1|6|?||||||
rating|Tariff|MpmRid|1|0|||||||
rating|Tariff|MinSec|2|0|0|30|||||
rating|Tariff|FirstBillableSec|1|0|0||||||
rating|Tariff|DiscPerc|1|0|0||||||
rating|Tariff|Discount[1]|1|6|?||||||
rating|Tariff|Discount[2]|1|6|?||||||
rating|Tariff|Discount[3]|1|6|?||||||
rating|Tariff|Discount[4]|2|6|?|?|||||
rating|Tariff|Discount[5]|1|6|?||||||
rating|Tariff|Discount[6]|1|6|?||||||
rating|Tariff|DayType[1]|1|6|?||||||
rating|Tariff|DayType[2]|2|6|?|?|||||
rating|Tariff|DayType[3]|2|6|?|?|||||
rating|Tariff|DayType[4]|2|6|?|?|||||
rating|Tariff|DayType[5]|2|6|?|?|||||
rating|Tariff|DayType[6]|1|6|?||||||
rating|Tariff|DataType|3|0|1|4|5||||
rating|Tariff|CustNum|1|0|0||||||
rating|Tariff|CurrUnit|1|0|yes||||||
rating|Tariff|ASubType|1|0|0||||||
rating|Tariff|BDest|211|0||COMP|COMP071|COMPMCF|CPACK_DNAMOB|CPACK_FIXED|CPACK_MOBILE
rating|Tariff|BillCode|155|0|1DNACALLABR|1DNACALLABRDF|1DNACALLABRHF|1DNACALLDFABRDF|1DNACALLDHFABRDF|1DNACALLVDABRVF|1GPRSROAMEU
rating|Tariff|Brand|1|0|1||||||
rating|Tariff|CCN|48|0|2|3|4|7|9|10|11
rating|Tariff|TZFrom[1]|1|6|?||||||
rating|Tariff|TZFrom[2]|2|6|?|?|||||
rating|Tariff|TZFrom[3]|2|6|?|?|||||
rating|Tariff|TZFrom[4]|1|6|?||||||
rating|Tariff|TZFrom[5]|1|6|?||||||
rating|Tariff|TZFrom[6]|1|6|?||||||
rating|Tariff|VStartCharge[1]|1|6|?||||||
rating|Tariff|VStartCharge[2]|1|6|?||||||
rating|Tariff|VStartCharge[3]|1|6|?||||||
rating|Tariff|VStartCharge[4]|1|6|?||||||
rating|Tariff|VStartCharge[5]|1|6|?||||||
rating|Tariff|VStartCharge[6]|1|6|?||||||
rating|Tariff|VPrice[1]|1|6|?||||||
rating|Tariff|VPrice[2]|1|6|?||||||
rating|Tariff|VPrice[3]|1|6|?||||||
rating|Tariff|VPrice[4]|1|6|?||||||
rating|Tariff|VPrice[5]|1|6|?||||||
rating|Tariff|VPrice[6]|1|6|?||||||
rating|Tariff|ValidTo|13|0|30/06/11|30/06/12|30/08/12|31/12/12|28/02/13|30/06/13|31/12/13
rating|Tariff|ValidFrom|28|0|01/01/11|01/05/11|01/06/11|01/07/11|01/10/11|01/12/11|01/01/12
rating|Tariff|TZTo[1]|2|6|?|?|||||
rating|Tariff|TZTo[2]|2|6|?|?|||||
rating|Tariff|TZTo[3]|2|6|?|?|||||
rating|Tariff|TZTo[4]|2|6|?|?|||||
rating|Tariff|TZTo[5]|3|6|?|?|?||||
rating|Tariff|TZTo[6]|1|6|?||||||
rating|Tariff|TZName[1]|4|6|?|?|?|?|||
